Date,Particulars,Quantity_Sold
4/1/24,3.30MM MDF DWR,4
4/2/24,17MM MDF DWR,25
4/2/24,3.30MM MDF DIR,150
4/2/24,3.30MM MDF DWR,504
4/2/24,5.50MM MDF DWR,100
4/2/24,7.50MM MDF DWR,25
4/3/24,11MM MDF DWR,6
4/4/24,17MM MDF DWR,1
4/5/24,11MM MDF DWR,5
4/5/24,3.30MM MDF DWR,2
4/6/24,11MM MDF DWR,10
4/6/24,17MM MDF DWR,10
4/6/24,3.30MM MDF DWR,30
4/6/24,5.50MM MDF DWR,10
4/9/24,11MM MDF DWR,11
4/9/24,17MM MDF DWR,12
4/9/24,3.30MM MDF DWR,2
4/9/24,5.50MM MDF DWR,20
4/9/24,7.50MM MDF DWR,5
4/10/24,11MM MDF DWR,2
4/10/24,17MM MDF DWR,1
4/10/24,3.30MM MDF DIR,25
4/10/24,3.30MM MDF DWR,2
4/10/24,5.50MM MDF DWR,2
4/10/24,7.50MM MDF DWR,2
4/11/24,3.30MM MDF DWR,1
4/11/24,5.50MM MDF DWR,55
4/12/24,11MM MDF DWR,1
4/13/24,3.30MM MDF DWR,5
4/13/24,5.50MM MDF DWR,2
4/15/24,17MM MDF DWR,4
4/15/24,3.30MM MDF DWR,5
4/18/24,3.30MM MDF DWR,11
4/20/24,17MM MDF DWR,10
4/20/24,3.30MM MDF DWR,10
4/22/24,11MM MDF DWR,5
4/22/24,3.30MM MDF DWR,3
4/23/24,17MM MDF DWR,3
4/23/24,3.30MM MDF DWR,17
4/24/24,3.30MM MDF DWR,5
4/24/24,5.50MM MDF DWR,2
4/25/24,11MM MDF DWR,9
4/25/24,17MM MDF DWR,5
4/25/24,3.30MM MDF DWR,6
4/25/24,5.50MM MDF DWR,3
4/26/24,11MM MDF DWR,5
4/26/24,17MM MDF DWR,7
4/26/24,3.30MM MDF DWR,12
4/27/24,3.30MM MDF DWR,9
4/29/24,17MM MDF DWR,3
4/29/24,3.30MM MDF DWR,2
4/29/24,5.50MM MDF DWR,1
4/29/24,7.50MM MDF DWR,1
4/30/24,11MM MDF DWR,1
4/30/24,17MM MDF DWR,2
4/30/24,3.30MM MDF DIR,5
4/30/24,3.30MM MDF DWR,27
4/30/24,5.50MM MDF DWR,2
5/1/24,3.30MM MDF DWR,5
5/3/24,17MM MDF DWR,3
5/3/24,3.30MM MDF DWR,8
5/3/24,5.50MM MDF DWR,27
5/4/24,5.50MM MDF DWR,1
5/6/24,11MM MDF DWR,3
5/6/24,17MM MDF DWR,1
5/7/24,3.30MM MDF DWR,6
5/8/24,11MM MDF DWR,1
5/8/24,17MM MDF DWR,5
5/8/24,3.30MM MDF DWR,8
5/8/24,5.50MM MDF DWR,2
5/9/24,3.30MM MDF DWR,35
5/10/24,3.30MM MDF DWR,6
5/11/24,11MM MDF DWR,4
5/11/24,3.30MM MDF DWR,5
5/13/24,17MM MDF DWR,13
5/14/24,3.30MM MDF DWR,4
5/15/24,11MM MDF DWR,5
5/15/24,3.30MM MDF DWR,10
5/15/24,5.50MM MDF DWR,5
5/15/24,7.50MM MDF DWR,5
5/16/24,3.30MM MDF DWR,5
5/16/24,5.50MM MDF DIR,6
5/16/24,5.50MM MDF DWR,3
5/18/24,5.50MM MDF DWR,7
5/20/24,11MM MDF DWR,8
5/20/24,17MM MDF DWR,3
5/20/24,3.30MM MDF DWR,20
5/20/24,5.50MM MDF DWR,2
5/21/24,17MM MDF DWR,6
5/21/24,3.30MM MDF DWR,2
5/22/24,11MM MDF DWR,2
5/22/24,17MM MDF DWR,7
5/22/24,3.30MM MDF DWR,10
5/23/24,11MM MDF DWR,23
5/23/24,17MM MDF DWR,20
5/23/24,3.30MM MDF DWR,18
5/23/24,5.50MM MDF DWR,20
5/23/24,7.50MM MDF DWR,10
5/24/24,17MM MDF DWR,3
5/24/24,3.30MM MDF DWR,20
5/24/24,5.50MM MDF DIR,7
5/24/24,5.50MM MDF DWR,20
5/24/24,7.50MM MDF DWR,2
5/25/24,17MM MDF DWR,3
5/25/24,3.30MM MDF DWR,205
5/25/24,5.50MM MDF DWR,2
5/27/24,17MM MDF DWR,2
5/27/24,3.30MM MDF DWR,3
5/27/24,5.50MM MDF DWR,3
5/28/24,17MM MDF DWR,1
5/28/24,3.30MM MDF DWR,6
5/28/24,7.50MM MDF DWR,3
5/29/24,3.30MM MDF DWR,3
5/29/24,7.50MM MDF DWR,8
5/30/24,17MM MDF DWR,1
5/30/24,3.30MM MDF DWR,2
5/31/24,17MM MDF DWR,2
5/31/24,5.50MM MDF DWR,2
5/31/24,7.50MM MDF DWR,1
6/1/24,11MM MDF DWR,5
6/1/24,17MM MDF DWR,8
6/1/24,3.30MM MDF DIR,5
6/1/24,3.30MM MDF DWR,24
6/1/24,5.50MM MDF DWR,4
6/3/24,11MM MDF DWR,6
6/3/24,17MM MDF DWR,5
6/3/24,3.30MM MDF DWR,60
6/3/24,5.50MM MDF DWR,2
6/4/24,11MM MDF DWR,5
6/5/24,17MM MDF DWR,1
6/5/24,3.30MM MDF DWR,15
6/5/24,5.50MM MDF DWR,5
6/7/24,5.50MM MDF DWR,1
6/8/24,11MM MDF DWR,14
6/8/24,17MM MDF DWR,28
6/8/24,3.30MM MDF DIR,20
6/8/24,3.30MM MDF DWR,2
6/10/24,17MM MDF DWR,1
6/10/24,3.30MM MDF DWR,16
6/11/24,17MM MDF DWR,3
6/11/24,3.30MM MDF DIR,10
6/11/24,3.30MM MDF DWR,5
6/11/24,5.50MM MDF DWR,1
6/12/24,17MM MDF DWR,1
6/12/24,3.30MM MDF DWR,2
6/13/24,17MM MDF DWR,1
6/13/24,3.30MM MDF DWR,30
6/14/24,3.30MM MDF DWR,15
6/15/24,11MM MDF DWR,10
6/15/24,17MM MDF DWR,9
6/17/24,11MM MDF DWR,6
6/17/24,3.30MM MDF DWR,1
6/18/24,11MM MDF DWR,1
6/18/24,3.30MM MDF DIR,4
6/18/24,3.30MM MDF DWR,2
6/19/24,11MM MDF DWR,1
6/19/24,3.30MM MDF DWR,9
6/19/24,5.50MM MDF DWR,6
6/20/24,11MM MDF DWR,1
6/20/24,3.30MM MDF DWR,15
6/21/24,17MM MDF DWR,12
6/21/24,3.30MM MDF DWR,17
6/21/24,5.50MM MDF DWR,8
6/22/24,11MM MDF DWR,1
6/22/24,3.30MM MDF DWR,1
6/24/24,11MM MDF DWR,7
6/24/24,17MM MDF DWR,25
6/24/24,3.30MM MDF DWR,55
6/24/24,5.50MM MDF DWR,20
6/25/24,17MM MDF DWR,1
6/25/24,3.30MM MDF DIR,2
6/25/24,5.50MM MDF DWR,3
6/26/24,3.30MM MDF DWR,4
6/27/24,3.30MM MDF DWR,6
6/27/24,5.50MM MDF DWR,2
6/27/24,7.50MM MDF DWR,1
6/28/24,11MM MDF DWR,3
6/28/24,17MM MDF DWR,3
6/29/24,17MM MDF DWR,3
6/29/24,3.30MM MDF DIR,5
6/29/24,3.30MM MDF DWR,20
