,17MM DWR,3.30MM DWR,5.50MM DWR,11MM DWR,3.30MM DIR,7.50MM DWR,25MM DWR,11MM DIR,8MM HDHMR,17MM DIR,7.50MM DIR,18MM HDHMR,5.50MM DIR,3MM HDHMR,5.50MM HDHMR,12MM HDHMR,16.50MM DWR,16MM HDHMR,2.10MM DIR,25MM HDHMR,7MM DIR
2022-04-01,92,701,326,105,124,37,15,34,39,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-02,92,676,326,105,124,37,15,34,39,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-03,92,676,326,105,124,37,15,34,39,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-04,89,661,318,77,123,37,15,34,39,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-05,79,651,312,68,120,27,15,34,39,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-06,74,651,312,62,120,27,5,34,39,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-07,62,641,312,60,120,27,5,34,39,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-08,62,641,312,60,120,27,5,34,39,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-09,62,635,302,60,120,27,5,34,39,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-10,62,635,302,60,120,27,5,34,39,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-11,57,630,299,60,120,27,5,34,39,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-12,52,561,279,55,95,27,10,34,39,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-13,47,561,279,47,95,22,3,34,39,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-14,41,559,279,27,94,22,3,24,39,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-15,33,556,279,23,94,22,3,24,39,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-16,30,540,279,23,94,22,3,24,39,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-17,30,540,279,23,94,22,3,24,39,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-18,30,516,269,8,93,17,3,24,38,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-19,30,475,267,8,93,7,3,24,38,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-20,26,469,260,1,93,7,3,24,38,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-21,26,434,250,-1,93,2,3,24,38,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-22,25,412,235,-1,93,2,0,24,38,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-23,24,411,200,-1,93,2,0,24,38,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-24,24,411,200,-1,93,2,0,24,38,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-25,23,405,200,-1,93,2,0,22,38,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-26,23,385,200,-1,85,2,0,22,38,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-27,23,383,184,-1,77,2,0,20,38,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-28,23,345,181,-1,73,2,0,20,38,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-29,23,345,181,-1,73,2,0,20,38,0,0,30,48,126,47,52,5,0,0,0,0
2022-04-30,23,345,181,-1,73,2,0,20,38,0,0,30,48,126,47,52,5,0,0,0,0
2022-05-01,23,345,181,-1,73,2,0,20,38,0,0,30,48,126,47,52,5,0,0,0,0
2022-05-02,23,345,181,-1,73,2,0,20,38,0,0,30,48,126,47,52,5,0,0,0,0
2022-05-03,143,655,431,141,63,52,30,20,38,20,30,30,48,126,47,52,5,0,0,0,0
2022-05-04,143,629,421,139,63,52,26,20,38,20,30,28,48,126,47,52,5,0,0,0,0
2022-05-05,143,627,419,139,63,52,26,20,38,20,30,28,48,126,47,52,5,0,0,0,0
2022-05-06,143,616,419,128,61,42,26,20,38,12,28,28,46,126,47,52,5,0,0,0,0
2022-05-07,143,606,419,128,61,41,26,20,38,12,28,28,46,126,47,52,5,0,0,0,0
2022-05-08,143,606,419,128,61,41,26,20,38,12,28,28,46,126,47,52,5,0,0,0,0
2022-05-09,134,593,409,128,61,41,26,20,38,12,28,28,46,126,47,52,5,0,0,0,0
2022-05-10,133,593,409,128,23,41,24,20,38,12,28,28,46,126,47,52,5,0,0,0,0
2022-05-11,133,583,406,128,23,41,24,20,38,12,28,28,46,116,47,52,5,0,0,0,0
2022-05-12,128,558,401,113,23,41,24,20,38,12,28,28,46,109,47,52,5,0,0,0,0
2022-05-13,128,539,398,107,23,41,22,20,38,12,28,28,46,109,47,52,5,0,0,0,0
2022-05-14,126,534,394,92,23,41,22,20,38,12,28,28,46,109,47,52,5,0,0,0,0
2022-05-15,126,534,394,92,23,41,22,20,38,12,28,28,46,109,47,52,5,0,0,0,0
2022-05-16,124,493,359,92,23,32,22,20,38,12,28,28,46,109,47,52,5,0,0,0,0
2022-05-17,115,491,359,76,23,29,22,20,38,12,28,28,46,109,47,52,5,0,0,0,0
2022-05-18,113,476,358,67,23,29,22,20,38,12,28,28,46,109,47,52,5,0,0,0,0
2022-05-19,113,476,358,42,23,29,21,20,38,12,28,28,46,109,47,52,5,0,0,0,0
2022-05-20,112,461,346,22,23,19,21,20,38,12,28,28,46,109,47,52,5,0,0,0,0
2022-05-21,107,461,346,22,23,19,21,20,38,12,28,26,46,109,45,50,5,0,0,0,0
