Date,Particular,Thickness,Voucher No.,Quantity,Weight Per Piece,Weight,Rate,Value,Product_Type,YearMonth
2023-03-31,11MM DWR,11.0,AP138,1,24.64,24.64,1449.91,1450,DWR,2023-03
2023-03-31,3.30MM DWR,3.3,AP142,2,7.392,14.784,479.03,958,DWR,2023-03
2023-04-01,3.30MM DWR,3.3,6,2,7.392,14.784,479.03,958,DWR,2023-04
2023-04-01,3.30MM DWR,3.3,8,3,7.392,22.176000000000002,479.03,1437,DWR,2023-04
2023-04-01,11MM DWR,11.0,8,1,24.64,24.64,1449.91,1450,DWR,2023-04
2023-04-01,17MM DWR,17.0,8,1,38.080000000000005,38.080000000000005,2134.02,2134,DWR,2023-04
2023-04-01,5.50MM DIR,5.5,9,10,12.32,123.2,576.44,5764,DIR,2023-04
2023-04-01,3.30MM DWR,3.3,9,16,7.392,118.272,464.61,7434,DWR,2023-04
2023-04-01,5.50MM DWR,5.5,9,15,12.32,184.8,749.15,11237,DWR,2023-04
2023-04-01,3.30MM DIR,3.3,9,10,7.392,73.92,357.59,3576,DIR,2023-04
2023-04-01,17MM DWR,17.0,10,1,38.080000000000005,38.080000000000005,2134.02,2134,DWR,2023-04
2023-04-03,5.50MM DWR,5.5,16,8,12.32,98.56,772.22,6178,DWR,2023-04
2023-04-03,3.30MM DWR,3.3,17,1,7.392,7.392,480.0,480,DWR,2023-04
2023-04-04,2.10MM DIR,2.1,26,7,4.704000000000001,32.928000000000004,160.0,1120,DIR,2023-04
2023-04-04,2.10MM DIR,2.1,26,1,4.704000000000001,4.704000000000001,160.0,160,DIR,2023-04
2023-04-04,17MM DWR,17.0,27,2,38.080000000000005,76.16000000000001,2134.02,4268,DWR,2023-04
2023-04-04,3.30MM DWR,3.3,28,8,7.392,59.136,479.03,3832,DWR,2023-04
2023-04-04,11MM DWR,11.0,32,5,24.64,123.2,1449.91,7250,DWR,2023-04
2023-04-04,7.50MM DWR,7.5,32,5,16.8,84.0,975.69,4878,DWR,2023-04
2023-04-05,7.50MM DWR,7.5,35,7,16.8,117.60000000000001,975.69,6830,DWR,2023-04
2023-04-05,3.30MM DWR,3.3,37,2,7.392,14.784,479.03,958,DWR,2023-04
2023-04-06,3.30MM DWR,3.3,42,30,7.392,221.76000000000002,512.68,15380,DWR,2023-04
2023-04-06,3.30MM DWR,3.3,43,10,7.392,73.92,479.03,4790,DWR,2023-04
2023-04-06,5.50MM DWR,5.5,43,4,12.32,49.28,772.25,3089,DWR,2023-04
2023-04-06,5.50MM DWR,5.5,44,5,12.32,61.6,772.22,3861,DWR,2023-04
2023-04-06,3.30MM DWR,3.3,45,10,7.392,73.92,479.03,4790,DWR,2023-04
2023-04-06,17MM DWR,17.0,45,2,38.080000000000005,76.16000000000001,2134.02,4268,DWR,2023-04
2023-04-06,11MM DWR,11.0,47,3,24.64,73.92,1449.91,4350,DWR,2023-04
2023-04-06,18MM HDHMR,18.0,46,2,40.32000000000001,80.64000000000001,2944.69,5889,HDHMR,2023-04
2023-04-07,3.30MM DWR,3.3,50,5,7.392,36.96,544.0,2720,DWR,2023-04
2023-04-07,3.30MM DWR,3.3,53,20,7.392,147.84,479.03,9581,DWR,2023-04
2023-04-07,3.30MM DIR,3.3,53,10,7.392,73.92,368.49,3685,DIR,2023-04
2023-04-07,2.10MM DIR,2.1,54,2,4.704000000000001,9.408000000000001,261.14,522,DIR,2023-04
2023-04-07,3.30MM DWR,3.3,54,11,7.392,81.312,479.03,5269,DWR,2023-04
2023-04-07,17MM DIR,17.0,55,8,38.080000000000005,304.64000000000004,1412.1,11297,DIR,2023-04
2023-04-08,3.30MM DWR,3.3,56,50,7.392,369.6,479.03,23952,DWR,2023-04
2023-04-08,7.50MM DWR,7.5,56,10,16.8,168.0,975.69,9757,DWR,2023-04
2023-04-08,11MM DWR,11.0,56,15,24.64,369.6,1449.91,21749,DWR,2023-04
2023-04-08,5.50MM DWR,5.5,56,20,12.32,246.4,772.22,15444,DWR,2023-04
2023-04-08,3.30MM DWR,3.3,58,8,7.392,59.136,479.03,3832,DWR,2023-04
2023-04-08,5.50MM DWR,5.5,58,20,12.32,246.4,772.22,15444,DWR,2023-04
2023-04-08,17MM DWR,17.0,59,2,38.080000000000005,76.16000000000001,2134.02,4268,DWR,2023-04
2023-04-08,11MM DWR,11.0,60,24,24.64,591.36,1949.76,46794,DWR,2023-04
2023-04-08,5.50MM HDHMR,5.5,56,5,12.32,61.6,964.47,4822,HDHMR,2023-04
2023-04-08,3MM HDHMR,3.0,56,20,6.720000000000001,134.4,543.12,10862,HDHMR,2023-04
2023-04-10,3.30MM DWR,3.3,64,5,7.392,36.96,479.03,2395,DWR,2023-04
2023-04-10,5.50MM DWR,5.5,66,6,12.32,73.92,772.22,4633,DWR,2023-04
2023-04-10,3.30MM DWR,3.3,68,5,7.392,36.96,479.03,2395,DWR,2023-04
2023-04-10,2.10MM DIR,2.1,68,13,4.704000000000001,61.15200000000001,261.14,3395,DIR,2023-04
2023-04-10,7.50MM DWR,7.5,69,20,16.8,336.0,975.69,19514,DWR,2023-04
2023-04-10,3.30MM DWR,3.3,70,10,7.392,73.92,479.03,4790,DWR,2023-04
2023-04-11,3.30MM DWR,3.3,72,7,7.392,51.744,479.03,3353,DWR,2023-04
2023-04-11,3.30MM DWR,3.3,74,1,7.392,7.392,479.03,479,DWR,2023-04
2023-04-11,7.50MM DWR,7.5,76,4,16.8,67.2,975.69,3903,DWR,2023-04
2023-04-11,3MM HDHMR,3.0,71,8,6.720000000000001,53.760000000000005,543.12,4345,HDHMR,2023-04
2023-04-11,5.50MM HDHMR,5.5,71,9,12.32,110.88,964.47,8680,HDHMR,2023-04
2023-04-11,18MM HDHMR,18.0,85,1,40.32000000000001,40.32000000000001,3010.37,3010,HDHMR,2023-04
2023-04-12,17MM DWR,17.0,89,2,38.080000000000005,76.16000000000001,2134.02,4268,DWR,2023-04
2023-04-12,7.50MM DWR,7.5,91,3,16.8,50.400000000000006,975.69,2927,DWR,2023-04
2023-04-12,3.30MM DWR,3.3,95,40,7.392,295.68,464.61,18584,DWR,2023-04
2023-04-13,3.30MM DWR,3.3,97,2,7.392,14.784,479.03,958,DWR,2023-04
2023-04-13,11MM DWR,11.0,102,10,24.64,246.4,1449.91,14499,DWR,2023-04
2023-04-14,3.30MM DWR,3.3,107,10,7.392,73.92,479.03,4790,DWR,2023-04
2023-04-14,3.30MM DWR,3.3,115,2,7.392,14.784,544.0,1088,DWR,2023-04
2023-04-14,5.50MM DWR,5.5,115,2,12.32,24.64,832.0,1664,DWR,2023-04
2023-04-15,3.30MM DWR,3.3,116,20,7.392,147.84,479.0,9580,DWR,2023-04
2023-04-15,3.30MM DWR,3.3,116,1,7.392,7.392,479.03,479,DWR,2023-04
2023-04-15,17MM DWR,17.0,116,2,38.080000000000005,76.16000000000001,2134.02,4268,DWR,2023-04
2023-04-15,17MM DWR,17.0,120,5,38.080000000000005,190.40000000000003,2134.0,10670,DWR,2023-04
