Particular,daily_demand,annual_demand,EOQ,unit_weight,ordering_cost,holding_cost
11MM DIR,0.31232876712328766,114.0,114,24.64,2000.0,35.112
11MM DWR,3.712328767123288,1355.0,393,24.64,2000.0,35.112
12MM HDHMR,0.6876712328767123,250.99999999999997,162,26.880000000000003,2000.0,38.304
17MM DIR,0.1178082191780822,43.0,43,38.080000000000005,2000.0,54.26400000000001
17MM DWR,2.6767123287671235,977.0000000000001,268,38.080000000000005,2000.0,54.26400000000001
18MM HDHMR,1.1424657534246576,417.00000000000006,170,40.32000000000001,2000.0,57.45600000000002
2.10MM DIR,0.27671232876712326,100.99999999999999,100,4.704000000000001,2000.0,6.703200000000001
25MM DWR,0.16986301369863013,62.0,56,56.00000000000001,2000.0,79.80000000000001
25MM HDHMR,0.0273972602739726,10.0,10,56.00000000000001,2000.0,79.80000000000001
3.30MM DIR,2.0712328767123287,756.0,536,7.392,2000.0,10.533600000000002
3.30MM DWR,16.660273972602738,6080.999999999999,1520,7.392,2000.0,10.533600000000002
3MM HDHMR,2.8958904109589043,1057.0,664,6.720000000000001,2000.0,9.576
5.50MM DIR,1.3178082191780822,481.0,331,12.32,2000.0,17.556
5.50MM DWR,6.501369863013698,2373.0,735,12.32,2000.0,17.556
5.50MM HDHMR,0.863013698630137,315.0,268,12.32,2000.0,17.556
7.50MM DIR,0.4547945205479452,166.0,166,16.8,2000.0,23.94
7.50MM DWR,2.8876712328767122,1054.0,420,16.8,2000.0,23.94
7MM DIR,0.136986301369863,50.0,50,15.680000000000001,2000.0,22.344
8MM HDHMR,0.4383561643835616,160.0,158,17.92,2000.0,25.536
